Conditions,Category,Value,Effect,Suggestions
Hemoglobin,1,12 g/dL  or lower,"Fatigue, Weakness, Pale skin, Shortness of breath, Irritability, Headaches, Difficulty concentrating, Increased heart rate, Increased susceptibility to infections","Eat iron-rich foods (red meat, spinach, lentils), Take iron supplements as prescribed by a doctor, Include vitamin C-rich foods to enhance iron absorption, Get regular check-ups to monitor hemoglobin levels"
Hemoglobin,2,12.1 g/dL - 13 g/dL ,No significant effects observed,"Maintain a balanced diet, Regular exercise, Maintain a healthy lifestyle"
Hemoglobin,3,13.1 g/dL or higher,No significant effects observed,"Continue a healthy lifestyle, Regular health check-ups"
Blood Pressure,1,120 mmHg or lower,Normal blood pressure range,"Continue a healthy lifestyle, Regular health check-ups"
Blood Pressure,2,120 mmHg - 139 mmHg,Elevated blood pressure,"Limit sodium intake, Adopt a heart-healthy diet, Engage in regular physical activity, Monitor blood pressure regularly"
Blood Pressure,3,140 mmHg or higher,"High blood pressure, Increased risk of heart disease, stroke, kidney problems, vision problems, headaches, fatigue","Limit sodium intake, Follow the DASH diet, Engage in regular physical activity, Take medication as prescribed by a doctor, Regular blood pressure monitoring"
Cholesterol,1,200 mg/dL or lower,Normal cholesterol level,"Adopt a heart-healthy diet, Engage in regular physical activity, Monitor cholesterol levels regularly"
Cholesterol,2,201 mg/dL - 239 mg/dL,Elevated cholesterol level,"Follow a heart-healthy diet, Engage in regular physical activity, Monitor cholesterol levels regularly"
Cholesterol,3,240 mg/dL or higher,"High cholesterol level, Increased risk of heart disease","Follow a heart-healthy diet, Engage in regular physical activity, Take cholesterol-lowering medications as prescribed by a doctor, Regular cholesterol level monitoring"
Diabetes,1,Fasting blood sugar: 70 mg/dL - 99 mg/dL,Normal blood sugar levels,"Maintain a balanced diet, Engage in regular physical activity, Monitor blood sugar regularly"
Diabetes,2,Fasting blood sugar: 100 mg/dL - 125 mg/dL,"Prediabetes, Increased risk of developing diabetes","Adopt a healthier lifestyle, Control portion sizes, Monitor blood sugar regularly"
Diabetes,3,Fasting blood sugar: 126 mg/dL or higher,"Type 2 Diabetes, High blood sugar levels, Increased thirst, frequent urination, blurry vision, fatigue, slow healing of wounds, weight loss or gain","Control blood sugar with a balanced diet, Regular exercise, Medication as prescribed by a doctor, Regular blood sugar monitoring"
Depression,1,Not clinically depressed,No significant effects observed,"Maintain a healthy lifestyle, Seek support if needed"
Depression,2,Mild to moderate depression,"Persistent sadness, low energy, fatigue, difficulty concentrating, changes in appetite, insomnia or oversleeping","Psychological counseling (talk therapy), Consider medication as prescribed by a psychiatrist, Regular physical activity, Support from friends and family"
Depression,3,Severe depression,Significant impairment in daily functioning,"Psychological counseling (talk therapy), Medication as prescribed by a psychiatrist, Regular physical activity, Strong support system"
Osteoporosis,1,Bone density T-score: -1 or higher,Normal bone density,"Maintain a balanced diet, Weight-bearing exercises, Regular check-ups"
Osteoporosis,2,Bone density T-score: -1 to -2.5,"Osteopenia (low bone density), Fracture risk increases","Maintain a balanced diet, Weight-bearing exercises, Calcium and vitamin D supplements, Medications as prescribed by a doctor"
Osteoporosis,3,Bone density T-score: -2.5 or lower,"Osteoporosis (severe bone loss), Fractures with minimal trauma, back pain, loss of height, decreased bone density","Maintain a balanced diet, Weight-bearing exercises, Calcium and vitamin D supplements, Medications as prescribed by a doctor, Fall prevention measures"
Asthma,1,Infrequent symptoms,"Coughing, wheezing, shortness of breath, chest tightness","Use inhalers as prescribed by a doctor, Avoid asthma triggers such as smoke and allergens, Create an asthma action plan"
Asthma,2,Frequent symptoms,"More frequent coughing, wheezing, shortness of breath, chest tightness","Use inhalers as prescribed by a doctor, Avoid asthma triggers, Monitor lung function regularly"
Asthma,3,Severe symptoms,"Persistent and severe symptoms, frequent exacerbations","Use inhalers and oral medications as prescribed by a doctor, Regular monitoring by a pulmonologist, Quick response to exacerbations"
